ccy1,ccy2,from_maturity,to_maturity
USD,SGD,TN,TN+1
USD,THB,ON,ON+1
USD,THB,SP,:BOM1
USD,THB,SP,:BOM10
USD,THB,SP,:BOM4
USD,THB,SP,:BOM7
USD,THB,SP,:EOM12
USD,THB,SP,:EOM3
USD,THB,SP,:EOM6
USD,THB,SP,:EOM9
USD,THB,SP,:IMM1
USD,THB,SP,:IMM2
USD,THB,SP,:IMM3
USD,THB,SP,:IMM4
USD,THB,SP,10M
USD,THB,SP,11M
USD,THB,SP,12M
USD,THB,SP,15M
USD,THB,SP,18M
USD,THB,SP,1M
USD,THB,SP,1W
USD,THB,SP,21M
USD,THB,SP,2M
USD,THB,SP,2W
USD,THB,SP,2Y
USD,THB,SP,3M
USD,THB,SP,3W
USD,THB,SP,4M
USD,THB,SP,5M
USD,THB,SP,6M
USD,THB,SP,7M
USD,THB,SP,8M
USD,THB,SP,9M
USD,THB,SP,SN
USD,THB,TN,TN+1
USD,TRY,ON,ON+1
USD,TRY,SP,:BOM1
USD,TRY,SP,:BOM10
USD,TRY,SP,:BOM4
USD,TRY,SP,:BOM7
USD,TRY,SP,:EOM12
USD,TRY,SP,:EOM3
USD,TRY,SP,:EOM6
USD,TRY,SP,:EOM9
USD,TRY,SP,:IMM1
USD,TRY,SP,:IMM2
USD,TRY,SP,:IMM3
USD,TRY,SP,:IMM4
USD,TRY,SP,10M
USD,TRY,SP,11M
USD,TRY,SP,12M
USD,TRY,SP,15M
USD,TRY,SP,18M
USD,TRY,SP,1M
USD,TRY,SP,1W
USD,TRY,SP,21M
USD,TRY,SP,2M
USD,TRY,SP,2W
USD,TRY,SP,2Y
USD,TRY,SP,3M
USD,TRY,SP,3W
USD,TRY,SP,4M
USD,TRY,SP,5M
USD,TRY,SP,6M
USD,TRY,SP,7M
USD,TRY,SP,8M
USD,TRY,SP,9M
USD,TRY,SP,TN.
USD,TRY,SP,TN.
USD,TWD,SP,12M
USD,TWD,SP,1M
USD,TWD,SP,1W
USD,TWD,SP,2M
USD,TWD,SP,3M
USD,TWD,SP,6M
USD,TWD,SP,9M
USD,TWD,SP,SN
USD,ZAR,ON,ON+1
USD,ZAR,SP,:BOM1
USD,ZAR,SP,:BOM10
USD,ZAR,SP,:BOM11
USD,ZAR,SP,:BOM12
USD,ZAR,SP,:BOM1F
USD,ZAR,SP,:BOM2
USD,ZAR,SP,:BOM3
USD,ZAR,SP,:BOM4
USD,ZAR,SP,:BOM5
USD,ZAR,SP,:BOM6
USD,ZAR,SP,:BOM7
USD,ZAR,SP,:BOM8
USD,ZAR,SP,:BOM9
USD,ZAR,SP,:EOM1
USD,ZAR,SP,:EOM10
USD,ZAR,SP,:EOM11
USD,ZAR,SP,:EOM12
USD,ZAR,SP,:EOM12F
USD,ZAR,SP,:EOM2
USD,ZAR,SP,:EOM3
USD,ZAR,SP,:EOM4
USD,ZAR,SP,:EOM5
USD,ZAR,SP,:EOM6
USD,ZAR,SP,:EOM7
USD,ZAR,SP,:EOM8
USD,ZAR,SP,:EOM9
USD,ZAR,SP,:IMM1
USD,ZAR,SP,:IMM2
USD,ZAR,SP,:IMM3
USD,ZAR,SP,:IMM4
USD,ZAR,SP,10M
USD,ZAR,SP,11M
USD,ZAR,SP,12M
USD,ZAR,SP,15M
USD,ZAR,SP,18M
USD,ZAR,SP,1M
USD,ZAR,SP,1W
USD,ZAR,SP,21M
USD,ZAR,SP,2M
USD,ZAR,SP,2W
USD,ZAR,SP,2Y
USD,ZAR,SP,3M
USD,ZAR,SP,3W
USD,ZAR,SP,4M
USD,ZAR,SP,5M
USD,ZAR,SP,6M
USD,ZAR,SP,7M
USD,ZAR,SP,8M
USD,ZAR,SP,9M
USD,ZAR,SP,SN
USD,ZAR,TN,TN+1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
